序号,id,XQMC,FWWZ,JD,WD
718,718,大桥社区,湖南省湘潭市岳塘区湘潭市岳塘区建设路街道,112.912194,27.848288
719,719,小蓓蕾幼儿园,湖南省湘潭市岳塘区湘潭市湘乡市中沙镇小蓓蕾幼儿园,112.32551,27.5128
720,720,新康乐幼儿园,湖南省湘潭市岳塘区湘潭市湘潭县青山桥镇新康乐幼儿园,112.56063,27.49712
721,721,农业科技大楼,湖南省湘潭市岳塘区银杏北路17,112.94,27.7863
722,722,岳塘区中西医结合医院,湖南省湘潭市岳塘区湘潭市岳塘区建设路街道,112.911052,27.837319
723,723,上海浦东发展银行ATM,湖南省湘潭市岳塘区福星东路88号湖南工程学院,112.92864,27.85014
724,724,滴水安置小区,湖南省湘潭市岳塘区湘潭市岳塘区荷塘街道滴水安置小区,112.96382,27.87857
725,725,李宁KIDS,湖南省湘潭市岳塘区湘潭市岳塘区宝塔街道福星中路与双拥北路交汇处(天虹商场(湘潭店)),112.937825,27.852386
726,726,湘乡市人民医院-门诊,湖南省湘潭市岳塘区健康路,112.52165,27.73218
727,727,英伦国际幼儿园,湖南省湘潭市岳塘区湖湘西路11号,112.92623,27.8366
728,728,谭家山镇棠霞学校,湖南省湘潭市岳塘区湘潭市湘潭县谭家山镇,112.956291,27.634669
729,729,书院路建筑学校4栋,湖南省湘潭市岳塘区湘潭市岳塘区下摄司街道书院路建筑学校4栋,112.942438,27.819813
730,730,合山社区,湖南省湘潭市岳塘区湘潭市雨湖区和平街道鹤山咀附近东南方向150米,112.947362,27.918856
731,731,小西点幼儿园,湖南省湘潭市岳塘区红旗商贸城,112.93574,27.84949
732,732,正视贸易大楼,湖南省湘潭市岳塘区车站路86,112.9049,27.86588
733,733,湘艺幼儿园,湖南省湘潭市岳塘区东山中路11号西南方向186米,112.51965,27.73483
734,734,湘潭铁路工程学校,湖南省湘潭市岳塘区广技路58号,112.88838,27.866556
735,735,大兴旺超市,湖南省湘潭市岳塘区龙潭街道正南方向80米,112.42366,27.98777
736,736,湘碱社区,湖南省湘潭市岳塘区湘潭市湘乡市昆仑桥街道南津路21号正西方向170米,112.517393,27.726023
737,737,湘潭市雨湖区园丁花园4栋,湖南省湘潭市岳塘区湘潭市雨湖区昭潭街道园丁花园4栋,112.88704,27.861151
738,738,鹏达超市,湖南省湘潭市岳塘区湘潭市岳塘区宝塔街道红旗新村2栋,112.933553,27.845897
739,739,鑫鑫超市,湖南省湘潭市岳塘区湘潭市湘乡市山枣镇,112.4074,27.69605
740,740,白石公园,湖南省湘潭市岳塘区湘潭市雨湖区昭潭街道大湖路,112.8912,27.85732
741,741,育塅中心小学,湖南省湘潭市岳塘区湘潭市湘乡市育塅乡,112.47235,27.79089
742,742,岚园小区,湖南省湘潭市岳塘区东泗路206号,112.90887,27.83839
743,743,批发佬网购连锁超市,湖南省湘潭市岳塘区芙蓉路9号东南方向110米,112.91733,27.82541
744,744,火炬南路馨钢花园6栋,湖南省湘潭市岳塘区湘潭市岳塘区下摄司街道火炬南路馨钢花园6栋,112.948379,27.82882
745,745,湘潭农商银行雨湖支行,湖南省湘潭市岳塘区宝庆路242,112.88226,27.85631
746,746,中国银行易俗河支行,湖南省湘潭市岳塘区易俗河镇凤凰中路871中银综合大厦,112.94671,27.7878
747,747,宝塔社区,湖南省湘潭市岳塘区湘潭市岳塘区宝塔街道宝塔社区,112.937399,27.853643
748,748,祥兰幼儿园,湖南省湘潭市岳塘区湘潭市湘潭县谭家山镇祥兰幼儿园,112.97716,27.67593
749,749,金鹏小区三院,湖南省湘潭市岳塘区金羚路142正南方向40米,112.9491,27.78482
750,750,中国邮政储蓄银行ATM,湖南省湘潭市岳塘区河东大道湖南理工职业技术学院,112.91655,27.84182
751,751,北京幸福泉幼儿园,湖南省湘潭市岳塘区火炬北路18号,112.94712,27.84762
752,752,火炬南路馨钢花园17栋,湖南省湘潭市岳塘区湘潭市岳塘区下摄司街道火炬南路馨钢花园17栋,112.94845,27.829969
753,753,桂花园38号,湖南省湘潭市岳塘区湘潭市雨湖区窑湾街道桂花园38号,112.885909,27.868792
754,754,白田镇中学,湖南省湘潭市岳塘区乡市,112.392584,27.903776
755,755,华宇国际大酒店,湖南省湘潭市岳塘区建设南路68号,112.91784,27.83056
756,756,王家山社区,湖南省湘潭市岳塘区湘潭市湘潭县杨嘉桥镇,112.778736,27.776595
757,757,东风社区,湖南省湘潭市岳塘区湘潭市湘乡市望春门街道,112.527308,27.743034
758,758,九华砂子塘潭州小学,湖南省湘潭市岳塘区湘潭市雨湖区和平街道,112.954785,27.939297
759,759,鱿你做主,湖南省湘潭市岳塘区湘潭市岳塘区宝塔街道福星中路与双拥北路交汇处(天虹商场(湘潭店)),112.937825,27.852386
760,760,桂花园4号附2号,湖南省湘潭市岳塘区湘潭市雨湖区窑湾街道桂花园4号附2号,112.88697,27.867319
761,761,御花苑大酒店,湖南省湘潭市岳塘区赤马路与堕落街交叉口东北角东科大御花苑1号楼,112.91226,27.90201
762,762,白田学校,湖南省湘潭市岳塘区湘潭市湘乡市白田镇,112.4098,27.92461
763,763,白石镇中心学校,湖南省湘潭市岳塘区湘潭市湘潭县白石镇,112.913107,27.459143
764,764,柏杨幼儿园,湖南省湘潭市岳塘区湘潭市湘乡市潭市镇柏杨幼儿园,112.32686,27.77255
765,765,桂花园土菜馆,湖南省湘潭市岳塘区湘潭市湘潭县易俗河镇,112.984188,27.797196
766,766,江南医院,湖南省湘潭市岳塘区楠竹山镇,112.64959,27.84379
767,767,九华小星星幼儿园,湖南省湘潭市岳塘区湘潭市雨湖区响水乡九华小星星幼儿园,112.9467,27.97935
768,768,湘乡农商银行巴江支行,湖南省湘潭市岳塘区湘潭市湘乡市栗山镇湘乡农商银行巴江支行,112.41573,27.57719
769,769,和平桥社区,湖南省湘潭市岳塘区湘潭市雨湖区雨湖路街道和平桥社区,112.910469,27.864908
770,770,围炉锅盔,湖南省湘潭市岳塘区湘潭市岳塘区宝塔街道福星中路与双拥北路交汇处(天虹商场(湘潭店)),112.937825,27.852386
771,771,大桥德才公办幼儿园,湖南省湘潭市岳塘区横街细巷子16号,112.8985,27.846
772,772,泗洲庵社区,湖南省湘潭市岳塘区湘潭市雨湖区城正街街道泗洲庵社区,112.920903,27.86445
773,773,长塘幼儿园,湖南省湘潭市岳塘区湘潭市岳塘区宝塔街道霞光东路168正东方向160米,112.946829,27.838425
774,774,芙蓉社区,湖南省湘潭市岳塘区湘潭市岳塘区书院路街道芙蓉社区,112.921447,27.832965
775,775,韶峰南方大酒店,湖南省湘潭市岳塘区湘乡市第三人民医院附近,112.22179,27.72761
776,776,湘潭吉安耳鼻喉医院,湖南省湘潭市岳塘区吉安路87号,112.95079,27.8386
777,777,华通大厦,湖南省湘潭市岳塘区岳塘区交警大队旁,112.91463,27.83626
778,778,中国工商银行ATM,湖南省湘潭市岳塘区昆仑桥办事处东山南路55号,112.52162,27.7274
779,779,沪昆高铁南站广场,湖南省湘潭市岳塘区湘潭市韶山市清溪镇韶南村东方红路与韶润路交汇处,112.541642,27.892991
780,780,余佳学校,湖南省湘潭市岳塘区湘潭市湘潭县射埠镇,112.758329,27.669367
781,781,湘潭县烟山中学,湖南省湘潭市岳塘区湘潭市湘潭县云湖桥镇,112.6916,27.8978
782,782,永福楼,湖南省湘潭市岳塘区湘潭市湘乡市新湘路办事处北正街居委会,112.524454,27.739085
783,783,中国工商银行ATM,湖南省湘潭市岳塘区玉兰中路525,112.93775,27.78169
784,784,滨湖移动小区,湖南省湘潭市岳塘区迎宾东路295,112.88865,27.85995
785,785,湘潭市口腔医院河东分院,湖南省湘潭市岳塘区建设南路387,112.9186,27.82972
786,786,清泉学校,湖南省湘潭市岳塘区湘潭市雨湖区姜畲镇,112.7873,27.86669
787,787,韶山市人民医院,湖南省湘潭市岳塘区民主路7号,112.519348,27.930918
788,788,城南社区,湖南省湘潭市岳塘区湘潭市湘乡市东山街道城南社区,112.530225,27.719661
789,789,排头乡中心小学,湖南省湘潭市岳塘区湘潭市湘潭县排头乡,112.696317,27.559067
790,790,雨湖区建元中学,湖南省湘潭市岳塘区湘潭市雨湖区万楼街道,112.919626,27.890871
791,791,湘钢霞西住宅小区,湖南省湘潭市岳塘区湘潭市岳塘区建设路街道泉心塘路雷公塘2号平房(湘钢住宅小区),112.91494,27.83395
792,792,新滴水安置区,湖南省湘潭市岳塘区湘潭市岳塘区荷塘街道,112.96462,27.882785
793,793,云门寺社区,湖南省湘潭市岳塘区湘潭市湘乡市望春门街道云门寺社区,112.526179,27.738975
794,794,好润家生活超市(云盘旗舰店),湖南省湘潭市岳塘区湘潭市岳塘区宝塔街道河东大道168号正南方向140米,112.947499,27.847785
795,795,德馨花园,湖南省湘潭市岳塘区湘潭市岳塘区双马街道宝塔街晓塘东路175号,112.95948,27.82756
796,796,玩点名堂,湖南省湘潭市岳塘区湘潭市岳塘区宝塔街道福星中路与双拥北路交汇处(天虹商场(湘潭店)),112.937825,27.852386
797,797,向红学校,湖南省湘潭市岳塘区湘潭市湘乡市东郊乡,112.63056,27.80043
798,798,新阳完小,湖南省湘潭市岳塘区湘潭市湘乡市泉塘镇同胜村,112.419365,27.766718
799,799,中国农业银行ATM,湖南省湘潭市岳塘区玉兰南路817,112.9461,27.77181
800,800,湘潭市中心医院-介入科,湖南省湘潭市岳塘区中心医院-3号楼(心血管大楼)22层,112.907071,27.866076
801,801,静逸楼,湖南省湘潭市岳塘区岳塘区霞光西路157号,112.912233,27.831553
802,802,润东生鲜超市,湖南省湘潭市岳塘区湘潭市岳塘区宝塔街道霞光东路58号西南方向130米,112.946546,27.840205
803,803,湘潭市优抚医院北门,湖南省湘潭市岳塘区河东大道23,112.929017,27.847115
804,804,一公司社区,湖南省湘潭市岳塘区湘潭市湘乡市昆仑桥街道一公司社区,112.519861,27.731457
805,805,中国农业银行ATM,湖南省湘潭市岳塘区湘潭市韶山市清溪镇中国农业银行atm,112.55553,27.92988
806,806,兴和小区,湖南省湘潭市岳塘区河东大道西南方向110米,112.914907,27.83957
807,807,诺贝尔国际幼儿园,湖南省湘潭市岳塘区东风路47号,112.52515,27.7424
808,808,童心幼儿园,湖南省湘潭市岳塘区零零二县道湘潭市岳塘区昭山乡卫生院东南,113.01451,27.96304
809,809,横东学校,湖南省湘潭市岳塘区湘潭市湘乡市壶天镇,112.061099,27.891003
810,810,红旗广场,湖南省湘潭市岳塘区湘潭市九华经济开发区红旗社区2排5栋正东方向110米,112.9384,27.90984
811,811,环宇大酒店,湖南省湘潭市岳塘区中路铺镇政府左侧,112.92331,27.55516
812,812,塔岭永丰超市,湖南省湘潭市岳塘区黄石村东北方向180米,112.81948,27.90114
813,813,五景花园小区,湖南省湘潭市岳塘区雨湖路208号,112.90696,27.86446
814,814,信源电器商场,湖南省湘潭市岳塘区湘潭市韶山市韶山乡,112.43072,27.90108
815,815,中国工商银行科大分行,湖南省湘潭市岳塘区石码头2号湖南科技大学逸夫教学楼1楼,112.91577,27.90538
816,816,石潭镇中心小学,湖南省湘潭市岳塘区石潭镇横街192号正东方向172米,112.709566,27.759313
817,817,百澳教育培训学校,湖南省湘潭市岳塘区建设中路10,112.91256,27.84004
818,818,石江小区,湖南省湘潭市岳塘区湘潭市湘乡市东郊乡,112.529327,27.777761
819,819,唯音艺术学校,湖南省湘潭市岳塘区湘潭市湘潭县易俗河镇杨柳北路70,112.965406,27.786389
820,820,白石小学,湖南省湘潭市岳塘区湘潭市湘潭县白石镇,112.878594,27.474373
821,821,砂子岭大厦,湖南省湘潭市岳塘区潭邵路3,112.87612,27.86119
822,822,蓝海幼儿园,湖南省湘潭市岳塘区湘潭市雨湖区先锋街道高岭路2号附16号,112.883845,27.885056
823,823,童话村,湖南省湘潭市岳塘区湘潭市岳塘区宝塔街道福星中路与双拥北路交汇处(天虹商场(湘潭店)),112.937825,27.852386
824,824,水府华都大酒店,湖南省湘潭市岳塘区棋梓镇水府庙收费站转盘新区,112.24187,27.72136
825,825,桂花园69号,湖南省湘潭市岳塘区湘潭市雨湖区窑湾街道桂花园69号,112.884545,27.868313
826,826,玲丽彩妆培训连锁学校,湖南省湘潭市岳塘区万隆·中央广场26楼2601,112.52623,27.73727
827,827,金龙花园7栋,湖南省湘潭市岳塘区湘潭市湘乡市新湘路街道金龙花园7栋,112.510249,27.7392
828,828,角色大酒店,湖南省湘潭市岳塘区吉安路168号中瀚财富广场B座,112.95034,27.8312
829,829,德馨小区,湖南省湘潭市岳塘区湘潭市湘乡市育塅乡德馨小区,112.50798,27.7534
830,830,上山学校,湖南省湘潭市岳塘区湘潭市湘乡市育塅乡,112.4364,27.81783
831,831,石坝小学,湖南省湘潭市岳塘区湘潭市湘乡市金石镇,112.417502,28.035706
832,832,振兴连锁超市白田店,湖南省湘潭市岳塘区白田镇白田村正北方向130米,112.40443,27.9206
833,833,步步高超市(东方红店)东三门,湖南省湘潭市岳塘区湖湘南路8号步步高乐淘城(东方红店),112.933552,27.832958
834,834,七秒易购,湖南省湘潭市岳塘区湘潭市岳塘区宝塔街道福星中路与双拥北路交汇处(天虹商场(湘潭店)),112.937825,27.852386
835,835,吉安幼儿园,湖南省湘潭市岳塘区双马街道茶园村,112.9533,27.83736
836,836,潭溪小学,湖南省湘潭市岳塘区湘潭市湘潭县花石镇,112.692178,27.457907
837,837,凤形山社区,湖南省湘潭市岳塘区湘潭市湘潭县易俗河镇凤形山社区,112.954893,27.786966
838,838,湖南银行高新支行,湖南省湘潭市岳塘区建设南路88号,112.91865,27.82963
839,839,姜畲塔岭双语幼儿园,湖南省湘潭市岳塘区西湖村,112.8204,27.894
840,840,步步高超市科大店,湖南省湘潭市岳塘区北二环线湖南科技大学北校门口,112.91145,27.9058
841,841,南苑小区,湖南省湘潭市岳塘区南正街200号正北方向110米,112.52159,27.7289
842,842,步步高湘乡双星超市,湖南省湘潭市岳塘区东风路23号,112.5259,27.73951
843,843,湘潭农商银行ATM,湖南省湘潭市岳塘区韶山中路8,112.904795,27.868056
844,844,妈仔谷,湖南省湘潭市岳塘区湘潭市岳塘区宝塔街道福星中路与双拥北路交汇处(天虹商场(湘潭店)),112.937825,27.852386
845,845,翻江镇学校,湖南省湘潭市岳塘区湘潭市湘乡市翻江镇,112.18234,27.82374
846,846,铭瑶超市,湖南省湘潭市岳塘区湘潭市湘乡市东山街道成才路555,112.54113,27.738418
847,847,法院生活区,湖南省湘潭市岳塘区湘潭市湘乡市新湘路办事处梅坪村,112.514991,27.735758
848,848,东塘供销综合商店,湖南省湘潭市岳塘区湘潭市湘乡市梅桥镇,112.56016,27.62919
849,849,中国建设银行ATM,湖南省湘潭市岳塘区东风路20号湘乡宾馆,112.52693,27.73694
850,850,华兴小区,湖南省湘潭市岳塘区湘潭市岳塘区建设路街道长潭路2号,112.91295,27.83986
851,851,白石花园4栋,湖南省湘潭市岳塘区湘潭市湘潭县易俗河镇百花社区白石花园4栋,112.947789,27.786183
852,852,花园村,湖南省湘潭市岳塘区湘潭市韶山市清溪镇,112.5162,27.918354
853,853,陈庚学校,湖南省湘潭市岳塘区湘潭市湘乡市龙洞镇,112.512596,27.802715
854,854,鑫燕超市,湖南省湘潭市岳塘区湘潭市湘乡市中沙镇,112.37693,27.51747
855,855,国光大厦,湖南省湘潭市岳塘区建设北路6号,112.90063,27.86377
856,856,中国工商银行ATM,湖南省湘潭市岳塘区解放北路15号,112.89213,27.8692
857,857,洙津楼,湖南省湘潭市岳塘区乡市山枣镇洙津村,112.480091,27.696725
858,858,新天时代佳园,湖南省湘潭市岳塘区新颜路天鹅小区丽园正北方向99米,112.52623,27.91756
859,859,崟塘学校,湖南省湘潭市岳塘区湘潭市湘乡市翻江镇,112.21856,27.80442
860,860,东湖路社区文化广场,湖南省湘潭市岳塘区湘潭市岳塘区建设路街道富都花园6栋,112.90906,27.84989
861,861,横铺小学,湖南省湘潭市岳塘区湘潭市湘乡市梅桥镇,112.56261,27.591
862,862,开心果幼儿园,湖南省湘潭市岳塘区湘潭市湘乡市虞唐镇开心果幼儿园,112.35415,27.60947
863,863,继述桥幼儿园,湖南省湘潭市岳塘区湘潭市湘潭县射埠镇继述桥幼儿园,112.85513,27.62044
864,864,花园酒店,湖南省湘潭市岳塘区湘潭市雨湖区鹤岭街道果沙塘鹤岭路24号东北方向60米,112.85514,27.96559
865,865,明湖广场,湖南省湘潭市岳塘区湘潭市雨湖区和平街道桃源路(湖南科技大学(北校)),112.909128,27.910623
866,866,发图形象,湖南省湘潭市岳塘区湘潭市岳塘区宝塔街道福星中路与双拥北路交汇处(天虹商场(湘潭店)),112.937825,27.852386
867,867,天天向上艺术幼儿园,湖南省湘潭市岳塘区湘潭市湘乡市山枣镇天天向上艺术幼儿园,112.40828,27.69516
868,868,商场巷28号,湖南省湘潭市岳塘区湘潭市雨湖区窑湾街道商场巷28号,112.89729,27.871657
869,869,花园吉祥便利店,湖南省湘潭市岳塘区枣园路花园社区综合服务大楼西南方向30米,112.516,27.91835
870,870,雨湖公园,湖南省湘潭市岳塘区湘潭市雨湖区雨湖路街道湖园路33号,112.90826,27.86191
871,871,家家乐购物广场,湖南省湘潭市岳塘区湘潭市湘乡市东山街道大将南路270,112.544516,27.73449
872,872,林敏医院,湖南省湘潭市岳塘区潭衡路261,112.86876,27.84893
873,873,友谊广场,湖南省湘潭市岳塘区书院路26号,112.926729,27.818862
874,874,长岭中学,湖南省湘潭市岳塘区湘潭市湘潭县谭家山镇,112.93815,27.64449
875,875,昆仑桥社区,湖南省湘潭市岳塘区湘潭市湘乡市昆仑桥街道,112.528311,27.733965
876,876,和气生财超市,湖南省湘潭市岳塘区团田村零四一县道团田百货部旁东北方向100米,112.44979,27.9629
877,877,冰河电器商场,湖南省湘潭市岳塘区团田村零四一县道团田百货部旁西南方向130米,112.44867,27.96105
878,878,杨氏骨伤科医院,湖南省湘潭市岳塘区谭邵路2号,112.877702,27.861582
879,879,清大小博士幼儿园,湖南省湘潭市岳塘区雪松中路757,112.95541,27.78916
880,880,湘潭市中心医院东二门,湖南省湘潭市岳塘区和平路120号湘潭市中心医院,112.907631,27.866135
881,881,泓润龙大酒店,湖南省湘潭市岳塘区中路铺镇原凤形大酒楼歩步高正对面,112.92373,27.55701
882,882,luckincoffee瑞幸咖啡(九华步步高商场店),湖南省湘潭市岳塘区湘潭市雨湖区北二环路与莲城大道交叉口东南280米正南方向10米,112.932261,27.894136
883,883,交通大楼,湖南省湘潭市岳塘区凤凰中路1128-6,112.94238,27.7868
884,884,明珠花园1栋,湖南省湘潭市岳塘区湘潭市岳塘区下摄司街道明珠花园1栋,112.930455,27.84361
885,885,茶园中学,湖南省湘潭市岳塘区肖冲村,112.98257,27.6582
886,886,南北花园,湖南省湘潭市岳塘区宝塔中路10号,112.92619,27.83393
887,887,湖南银行ATM,湖南省湘潭市岳塘区湘潭市雨湖区雨湖路街道车站路73,112.903681,27.864532
888,888,旮丸旯果,湖南省湘潭市岳塘区湘潭市岳塘区宝塔街道天虹商场2楼,112.937976,27.852493
889,889,芳芳超市微芳店,湖南省湘潭市岳塘区楠竹山镇楠韶路2号西北方向130米,112.65142,27.84864
890,890,云盘花园小区,湖南省湘潭市岳塘区湘潭市岳塘区宝塔街道河东大道169号,112.94619,27.84598
891,891,中国建设银行ATM,湖南省湘潭市岳塘区湘潭市湘潭县易俗河镇凤凰东路355,112.965018,27.795617
892,892,长城乡花园幼儿园,湖南省湘潭市岳塘区湘潭市雨湖区长城乡宋仙路50,112.83069,27.87543
893,893,汇景大厦,湖南省湘潭市岳塘区湘潭市雨湖区雨湖路街道城正街街道熙春路115号,112.916375,27.867998
894,894,金龙花园4栋,湖南省湘潭市岳塘区湘潭市湘乡市新湘路街道金龙花园4栋,112.51079,27.739838
895,895,湘乡农商银行ATM,湖南省湘潭市岳塘区湘潭市湘乡市翻江镇湘乡农商银行atm,112.141,27.90972
896,896,阳科骨科医院-骨科门诊,湖南省湘潭市岳塘区阳科骨科医院2楼,112.83173,27.86826
897,897,宝岛,湖南省湘潭市岳塘区湘潭市岳塘区宝塔街道福星中路与双拥北路交汇处(天虹商场(湘潭店)),112.937825,27.852386
898,898,湘潭县分路口社区文体广场,湖南省湘潭市岳塘区湘潭市湘潭县谭家山镇分路口社区,112.958123,27.652173
899,899,南海花园,湖南省湘潭市岳塘区湘潭市湘潭县易俗河镇雪松中路799号,112.95519,27.79023
